PopCode,Area,Year,Week,Sex,Age,AgeInterval,Deaths,Type,Access
DEUTNP,1,2000,6,f,85,5,2621,O,O
DEUTNP,1,2000,6,f,90,5,1719,O,O
DEUTNP,1,2000,6,f,95,+,486,O,O
DEUTNP,1,2000,6,f,TOT,.,10491,O,O
DEUTNP,1,2000,6,b,0,30,273,O,O
DEUTNP,1,2000,6,b,30,5,90,O,O
DEUTNP,1,2000,6,b,35,5,134,O,O
DEUTNP,1,2000,6,b,40,5,254,O,O
DEUTNP,1,2000,6,b,45,5,331,O,O
DEUTNP,1,2000,6,b,50,5,464,O,O
DEUTNP,1,2000,6,b,55,5,805,O,O
DEUTNP,1,2000,6,b,60,5,1235,O,O
DEUTNP,1,2000,6,b,65,5,1596,O,O
DEUTNP,1,2000,6,b,70,5,2171,O,O
DEUTNP,1,2000,6,b,75,5,2841,O,O
DEUTNP,1,2000,6,b,80,5,2397,O,O
DEUTNP,1,2000,6,b,85,5,3779,O,O
DEUTNP,1,2000,6,b,90,5,2232,O,O
DEUTNP,1,2000,6,b,95,+,627,O,O
DEUTNP,1,2000,6,b,TOT,.,19229,O,O
DEUTNP,1,2000,7,m,0,30,170,O,O
DEUTNP,1,2000,7,m,30,5,64,O,O
DEUTNP,1,2000,7,m,35,5,102,O,O
DEUTNP,1,2000,7,m,40,5,156,O,O
DEUTNP,1,2000,7,m,45,5,199,O,O
DEUTNP,1,2000,7,m,50,5,283,O,O
DEUTNP,1,2000,7,m,55,5,557,O,O
DEUTNP,1,2000,7,m,60,5,823,O,O
DEUTNP,1,2000,7,m,65,5,902,O,O
DEUTNP,1,2000,7,m,70,5,1251,O,O
DEUTNP,1,2000,7,m,75,5,1207,O,O
DEUTNP,1,2000,7,m,80,5,887,O,O
DEUTNP,1,2000,7,m,85,5,1032,O,O
DEUTNP,1,2000,7,m,90,5,489,O,O
DEUTNP,1,2000,7,m,95,+,108,O,O
DEUTNP,1,2000,7,m,TOT,.,8230,O,O
DEUTNP,1,2000,7,f,0,30,81,O,O
DEUTNP,1,2000,7,f,30,5,31,O,O
DEUTNP,1,2000,7,f,35,5,36,O,O
DEUTNP,1,2000,7,f,40,5,87,O,O
DEUTNP,1,2000,7,f,45,5,122,O,O
DEUTNP,1,2000,7,f,50,5,144,O,O
DEUTNP,1,2000,7,f,55,5,271,O,O
DEUTNP,1,2000,7,f,60,5,418,O,O
DEUTNP,1,2000,7,f,65,5,501,O,O
DEUTNP,1,2000,7,f,70,5,901,O,O
DEUTNP,1,2000,7,f,75,5,1480,O,O
DEUTNP,1,2000,7,f,80,5,1444,O,O
DEUTNP,1,2000,7,f,85,5,2396,O,O
DEUTNP,1,2000,7,f,90,5,1537,O,O
DEUTNP,1,2000,7,f,95,+,467,O,O
DEUTNP,1,2000,7,f,TOT,.,9916,O,O
DEUTNP,1,2000,7,b,0,30,251,O,O
DEUTNP,1,2000,7,b,30,5,95,O,O
DEUTNP,1,2000,7,b,35,5,138,O,O
DEUTNP,1,2000,7,b,40,5,243,O,O
DEUTNP,1,2000,7,b,45,5,321,O,O
DEUTNP,1,2000,7,b,50,5,427,O,O
DEUTNP,1,2000,7,b,55,5,828,O,O
DEUTNP,1,2000,7,b,60,5,1241,O,O
DEUTNP,1,2000,7,b,65,5,1403,O,O
DEUTNP,1,2000,7,b,70,5,2152,O,O
DEUTNP,1,2000,7,b,75,5,2687,O,O
DEUTNP,1,2000,7,b,80,5,2331,O,O
DEUTNP,1,2000,7,b,85,5,3428,O,O
DEUTNP,1,2000,7,b,90,5,2026,O,O
DEUTNP,1,2000,7,b,95,+,575,O,O
DEUTNP,1,2000,7,b,TOT,.,18146,O,O
DEUTNP,1,2000,8,m,0,30,161,O,O
DEUTNP,1,2000,8,m,30,5,61,O,O
DEUTNP,1,2000,8,m,35,5,115,O,O
DEUTNP,1,2000,8,m,40,5,129,O,O
DEUTNP,1,2000,8,m,45,5,232,O,O
DEUTNP,1,2000,8,m,50,5,294,O,O
DEUTNP,1,2000,8,m,55,5,470,O,O
DEUTNP,1,2000,8,m,60,5,795,O,O
DEUTNP,1,2000,8,m,65,5,965,O,O
DEUTNP,1,2000,8,m,70,5,1144,O,O
DEUTNP,1,2000,8,m,75,5,1242,O,O
DEUTNP,1,2000,8,m,80,5,829,O,O
DEUTNP,1,2000,8,m,85,5,990,O,O
DEUTNP,1,2000,8,m,90,5,479,O,O
DEUTNP,1,2000,8,m,95,+,112,O,O
DEUTNP,1,2000,8,m,TOT,.,8018,O,O
DEUTNP,1,2000,8,f,0,30,91,O,O
DEUTNP,1,2000,8,f,30,5,32,O,O
DEUTNP,1,2000,8,f,35,5,45,O,O
DEUTNP,1,2000,8,f,40,5,75,O,O
DEUTNP,1,2000,8,f,45,5,120,O,O
DEUTNP,1,2000,8,f,50,5,129,O,O
DEUTNP,1,2000,8,f,55,5,242,O,O
DEUTNP,1,2000,8,f,60,5,392,O,O
DEUTNP,1,2000,8,f,65,5,476,O,O
DEUTNP,1,2000,8,f,70,5,832,O,O
DEUTNP,1,2000,8,f,75,5,1426,O,O
DEUTNP,1,2000,8,f,80,5,1336,O,O
DEUTNP,1,2000,8,f,85,5,2350,O,O
